year,num_games,num_moves,avg_elo,max_elo
1851,18,79.38888888888889,,
1852,4,63.0,,
1853,7,71.14285714285715,,
1854,24,75.45833333333333,,
1855,103,74.22330097087377,,
1856,112,77.03571428571429,,
1857,114,71.6140350877193,,
1858,40,83.25,,
1859,2,107.0,,
1860,22,73.09090909090908,,
1861,33,70.9090909090909,,
1862,31,79.58064516129036,,
1863,25,68.68000000000002,,
1864,10,84.0,,
1866,14,79.64285714285714,,
1867,155,74.91612903225811,,
1868,24,72.91666666666666,,
1869,30,87.36666666666667,,
1870,70,82.45714285714291,,
1871,14,67.78571428571429,,
1872,34,75.41176470588233,,
1873,176,79.9090909090909,,
1874,36,73.33333333333331,,
1875,28,80.82142857142856,,
1876,84,87.6904761904762,,
1877,83,81.27710843373498,,
1878,180,85.31111111111109,,
1879,86,84.66279069767442,,
1880,281,88.57651245551605,,
1881,159,87.81132075471699,,
1882,289,91.71280276816604,,
1883,174,84.52873563218391,,
1885,154,85.59740259740256,,
1886,29,87.24137931034483,,
1887,247,81.08097165991902,,
1888,34,76.52941176470588,,
1889,216,81.11111111111109,,
1890,9,79.55555555555556,,
1891,10,75.5,,
1892,183,82.56830601092896,,
1893,20,77.30000000000003,,
1894,26,98.34615384615383,,
1895,8,88.375,,
1896,69,85.02898550724636,,
1897,11,78.00000000000001,,
1898,11,85.18181818181819,,
1899,212,87.58490566037736,,
1900,189,80.34391534391534,,
1901,99,82.96969696969697,,
1902,15,64.06666666666668,,
1903,13,92.0,,
1904,13,73.53846153846155,2133.0,2209.0
1905,177,77.05084745762713,1698.0548780487802,2556.0
1906,221,71.4751131221719,1575.6238095238095,2209.0
1907,61,70.93442622950822,,
1908,34,87.5294117647059,,
1909,139,82.12230215827341,,
1910,65,84.01538461538466,,
1911,109,75.00917431192661,,
1912,36,73.58333333333333,,
1913,206,78.8058252427185,,
1914,33,67.75757575757575,,
1915,30,80.83333333333334,,
1916,144,77.95138888888886,,
1917,4,91.5,,
1918,42,72.80952380952378,,
1919,61,77.98360655737703,,
1920,34,73.85294117647058,,
1921,55,76.7272727272727,,
1922,206,75.88834951456309,,
1923,4,67.5,,
1924,73,69.06849315068493,,
1925,8,69.375,,
1926,268,60.66417910447762,,
1927,393,78.25190839694653,,
1928,408,76.25490196078425,,
1929,79,79.2278481012658,,
1930,315,78.74285714285709,,
1931,557,81.25673249551167,,
1932,205,81.48292682926831,,
1933,538,79.29925650557617,,
1934,367,79.84196185286095,,
1935,810,74.4716049382717,,
1936,762,74.80052493438336,,
1937,475,82.94526315789479,,
1938,220,74.50909090909096,,
1939,1054,86.52466793168867,,
1940,10,67.2,,
1941,35,71.62857142857145,,
1943,18,85.44444444444444,,
1944,9,79.0,,
1945,55,80.29090909090912,,
1946,384,81.9296875,,
1947,437,74.06864988558354,,
1948,79,82.6962025316456,,
1949,191,74.46073298429317,,
1950,116,84.97413793103448,,
1951,382,85.68324607329839,,
1952,562,84.08896797153034,,
1953,601,79.10482529118133,,
1954,1665,81.80720720720711,2463.90625,2620.0
1955,1119,78.67113494191237,,
1956,463,79.26997840172785,,
1957,1211,75.54170107349287,,
1958,679,79.60972017673053,,
1959,1244,75.73392282958206,,
1960,2476,75.8307754442651,,
1961,1575,75.05079365079371,,
1962,1155,78.85108225108215,,
1963,855,83.06315789473688,,
1964,1277,77.01018010963205,,
1965,1065,78.9098591549295,,
1966,638,73.56426332288399,,
1967,566,74.21378091872799,,
1968,3723,76.08326618318561,2445.709134615384,2645.0
1969,1366,73.92386530014642,,
1970,4652,75.47162510748079,2414.7380952380963,2645.0
1971,2433,74.41512535963834,2452.446376811595,2760.0
1972,5604,75.67683797287638,2413.1197752808957,2785.0
1973,2859,74.55054214760438,2421.54776484997,2660.0
1974,2810,73.04056939501785,2380.4221681723384,2700.0
1975,2392,74.54556856187307,2408.3926399026727,2705.0
1976,4460,76.64955156950711,2430.087877422258,2695.0
1977,1934,74.63029989658736,2423.262711864407,2690.0
1978,3538,79.19728660260061,2414.3965633423186,2725.0
1979,2012,73.42743538767382,2371.586781609197,2695.0
1980,3795,74.91198945981579,2370.8942034860115,2725.0
1981,1538,75.07542262678793,2230.150051921083,2700.0
1982,4251,78.19289578922586,2362.5567313345114,2725.0
1983,1062,73.02165725047085,2375.580173347782,2690.0
1984,4756,78.92935239697213,2298.664654756154,2715.0
1985,1319,70.85443517816529,2361.3412356321837,2720.0
1986,4582,79.50567437800089,2327.7183246073296,2740.0
1987,1160,74.48189655172399,2342.994155844156,2740.0
1988,4740,81.92109704641366,2353.6449205585004,2750.0
1989,1880,76.8457446808512,2285.226552984164,2775.0
1990,1795,77.39164345403893,2354.7069922308533,2800.0
1991,1741,78.18897185525546,2331.3090778097985,2800.0
1992,2538,76.7561071710009,2283.7356532356557,2590.0
1993,3002,78.42571618920728,2272.7736520854514,2805.0
1994,2558,78.37412040656761,2152.9215080346103,2805.0
1995,3265,76.08820826952515,2279.8559249786854,2805.0
1996,5870,75.03117546848351,2185.718407812966,2795.0
1997,21400,77.81102803738254,2340.8327490598545,2820.0
1998,58325,76.89316759537098,2298.5121678220817,2825.0
1999,91715,76.30691817042012,2275.693999170857,2851.0
2000,131636,76.46520708620659,2236.3361265400476,2851.0
2001,136595,75.965079248874,2195.530817549937,2849.0
2002,170856,76.23122980755767,2169.2332338439355,2838.0
2003,189226,76.65409087546196,2151.8591098266998,2847.0
2004,215553,77.25140452696044,2144.5373783473046,2831.0
2005,188711,77.20635257086101,2130.2259410197307,2804.0
2006,152058,78.15519078246348,2176.174346486251,2813.0
2007,48127,79.01840962453522,2332.335843913633,2786.0
