name,year,avg_elo
"Tal, Mihail",1971,2620.0
"Tal, Mihail",1972,2625.0
"Tal, Mihail",1973,2650.2142857142858
"Tal, Mihail",1974,2635.0
"Tal, Mihail",1975,2645.0
"Tal, Mihail",1976,2615.0
"Tal, Mihail",1977,2620.0
"Tal, Mihail",1978,2625.0
"Tal, Mihail",1979,2615.0
"Tal, Mihail",1980,2705.0
"Tal, Mihail",1981,2556.9841269841268
"Tal, Mihail",1982,2614.8947368421054
"Tal, Mihail",1983,2620.0
"Tal, Mihail",1984,2612.1739130434785
"Tal, Mihail",1985,2565.0
"Tal, Mihail",1986,2600.7547169811319
"Tal, Mihail",1987,2609.9484536082473
"Tal, Mihail",1988,2624.8076923076924
"Tal, Mihail",1989,2597.5
"Tal, Mihail",1990,2582.0454545454545
"Tal, Mihail",1991,2567.8082191780823
"Tal, Mihail",1992,2525.0
"Taimanov, Mark E",1971,2604.4444444444443
"Taimanov, Mark E",1972,2590.0
"Taimanov, Mark E",1973,2589.4736842105262
"Taimanov, Mark E",1974,2580.0
"Taimanov, Mark E",1975,2579.9295774647885
"Taimanov, Mark E",1976,2553.4883720930234
"Taimanov, Mark E",1977,2530.0
"Taimanov, Mark E",1978,2530.0
"Taimanov, Mark E",1979,2510.0
"Taimanov, Mark E",1980,2510.0
"Taimanov, Mark E",1981,2500.0
"Taimanov, Mark E",1982,2510.0
"Taimanov, Mark E",1983,2515.0
"Taimanov, Mark E",1984,2513.7209302325582
"Taimanov, Mark E",1986,2500.0
"Taimanov, Mark E",1987,2480.0
"Taimanov, Mark E",1989,2486.3829787234044
"Taimanov, Mark E",1990,2509.2105263157896
"Taimanov, Mark E",1992,2505.0
"Taimanov, Mark E",1993,2500.0
"Taimanov, Mark E",1994,2503.7777777777778
"Taimanov, Mark E",1995,2508.0434782608695
"Taimanov, Mark E",1996,2474.2647058823532
"Taimanov, Mark E",1997,2425.0
"Taimanov, Mark E",1998,2472.3493975903616
"Taimanov, Mark E",1999,2421.3970588235293
"Taimanov, Mark E",2000,2413.8909090909092
"Taimanov, Mark E",2001,2440.6923076923076
"Taimanov, Mark E",2002,2421.92
"Taimanov, Mark E",2003,2409.2647058823532
"Taimanov, Mark E",2004,2407.3636363636365
"Spassky, Boris V",1971,2690.0
"Spassky, Boris V",1972,2660.0
"Spassky, Boris V",1973,2657.1739130434785
"Spassky, Boris V",1974,2648.90625
"Spassky, Boris V",1975,2625.0
"Spassky, Boris V",1976,2630.0
"Spassky, Boris V",1977,2610.4477611940297
"Spassky, Boris V",1978,2628.586956521739
"Spassky, Boris V",1979,2638.7096774193546
"Spassky, Boris V",1980,2615.0
"Spassky, Boris V",1981,2633.181818181818
"Spassky, Boris V",1982,2616.1688311688313
"Spassky, Boris V",1983,2605.0
"Spassky, Boris V",1984,2599.8360655737706
"Spassky, Boris V",1985,2584.4285714285716
"Spassky, Boris V",1986,2603.5353535353534
"Spassky, Boris V",1987,2600.0
"Spassky, Boris V",1988,2567.6027397260273
"Spassky, Boris V",1989,2579.3939393939395
"Spassky, Boris V",1990,2563.478260869565
"Spassky, Boris V",1991,2556.3461538461538
"Spassky, Boris V",1992,2554.5744680851062
"Spassky, Boris V",1993,2565.0
"Spassky, Boris V",1994,2565.0
"Spassky, Boris V",1995,2555.0
"Spassky, Boris V",1997,2550.0
"Spassky, Boris V",1998,2539.090909090909
"Spassky, Boris V",1999,2549.0
"Spassky, Boris V",2001,2551.0
"Spassky, Boris V",2002,2549.95
"Spassky, Boris V",2006,2548.0
"Smyslov, Vassily",1971,2620.0
"Smyslov, Vassily",1972,2620.0
"Smyslov, Vassily",1973,2605.6410256410259
"Smyslov, Vassily",1974,2600.0
"Smyslov, Vassily",1975,2605.0
"Smyslov, Vassily",1976,2579.4117647058824
"Smyslov, Vassily",1977,2595.0
"Smyslov, Vassily",1978,2575.0
"Smyslov, Vassily",1979,2562.2857142857142
"Smyslov, Vassily",1980,2550.0
"Smyslov, Vassily",1981,2555.1111111111113
"Smyslov, Vassily",1982,2565.0
"Smyslov, Vassily",1983,2597.2
"Smyslov, Vassily",1984,2604.5098039215686
"Smyslov, Vassily",1985,2598.2142857142858
"Smyslov, Vassily",1986,2564.1304347826085
"Smyslov, Vassily",1987,2550.0
"Smyslov, Vassily",1988,2550.0
"Smyslov, Vassily",1989,2564.9019607843138
"Smyslov, Vassily",1990,2570.0
"Smyslov, Vassily",1991,2533.4285714285716
"Smyslov, Vassily",1992,2530.0
"Smyslov, Vassily",1993,2524.022988505747
"Smyslov, Vassily",1994,2518.6666666666665
"Smyslov, Vassily",1995,2553.1355932203392
"Smyslov, Vassily",1996,2526.3265306122448
"Smyslov, Vassily",1997,2486.6666666666665
"Smyslov, Vassily",1998,2495.4545454545455
"Smyslov, Vassily",1999,2485.0
"Smyslov, Vassily",2000,2486.0
"Short, Nigel D",1978,2225.0
"Short, Nigel D",1979,2260.0
"Short, Nigel D",1980,2360.0
"Short, Nigel D",1981,2444.8958333333335
"Short, Nigel D",1982,2457.8235294117649
"Short, Nigel D",1983,2488.1720430107525
"Short, Nigel D",1984,2505.2325581395348
"Short, Nigel D",1985,2553.9285714285716
"Short, Nigel D",1986,2586.9148936170213
"Short, Nigel D",1987,2616.6015625
"Short, Nigel D",1988,2630.5232558139537
"Short, Nigel D",1989,2654.0449438202249
"Short, Nigel D",1990,2622.5
"Short, Nigel D",1991,2649.6153846153848
"Short, Nigel D",1992,2683.939393939394
"Short, Nigel D",1993,2655.7246376811595
"Short, Nigel D",1994,2661.9230769230771
"Short, Nigel D",1995,2650.2631578947367
"Short, Nigel D",1996,2683.2666666666669
"Short, Nigel D",1997,2676.7441860465115
"Short, Nigel D",1998,2663.9215686274511
"Short, Nigel D",1999,2683.8461538461538
"Short, Nigel D",2000,2680.0446428571427
"Short, Nigel D",2001,2672.195652173913
"Short, Nigel D",2002,2675.2222222222222
"Short, Nigel D",2003,2692.0735294117649
"Short, Nigel D",2004,2694.4181818181819
"Short, Nigel D",2005,2674.0
"Short, Nigel D",2006,2676.275
"Short, Nigel D",2007,2687.2
"Polgar, Judit",1987,2349.5238095238096
"Polgar, Judit",1988,2346.3
"Polgar, Judit",1989,2555.0
"Polgar, Judit",1990,2545.9210526315787
"Polgar, Judit",1991,2544.375
"Polgar, Judit",1992,2558.5526315789475
"Polgar, Judit",1993,2603.5135135135133
"Polgar, Judit",1994,2630.0
"Polgar, Judit",1995,2631.6279069767443
"Polgar, Judit",1996,2669.0163934426228
"Polgar, Judit",1997,2657.5
"Polgar, Judit",1998,2667.5
"Polgar, Judit",1999,2674.1041666666665
"Polgar, Judit",2000,2657.5
"Polgar, Judit",2001,2677.4117647058824
"Polgar, Judit",2002,2681.4810126582279
"Polgar, Judit",2003,2715.3589743589741
"Polgar, Judit",2005,2731.6
"Polgar, Judit",2006,2710.181818181818
"Polgar, Judit",2007,2721.2857142857142
"Petrosian, Tigran V",1971,2640.0
"Petrosian, Tigran V",1972,2645.0
"Petrosian, Tigran V",1973,2641.2931034482758
"Petrosian, Tigran V",1974,2640.0
"Petrosian, Tigran V",1975,2645.0
"Petrosian, Tigran V",1976,2634.8148148148148
"Petrosian, Tigran V",1977,2645.0
"Petrosian, Tigran V",1978,2620.0
"Petrosian, Tigran V",1979,2610.0
"Petrosian, Tigran V",1980,2615.0
"Petrosian, Tigran V",1981,2585.0
"Petrosian, Tigran V",1982,2604.5454545454545
"Petrosian, Tigran V",1983,2598.0
"Nakamura, Hikaru",1999,2197.4222222222224
"Nakamura, Hikaru",2000,2268.6226415094338
"Nakamura, Hikaru",2001,2417.12
"Nakamura, Hikaru",2002,2466.5308641975307
"Nakamura, Hikaru",2003,2533.5503875968993
"Nakamura, Hikaru",2004,2583.9876543209875
"Nakamura, Hikaru",2005,2647.0952380952381
"Nakamura, Hikaru",2006,2649.5593220338983
"Nakamura, Hikaru",2007,2654.0625
"Kramnik, Vladimir",1989,2490.0
"Kramnik, Vladimir",1990,2466.0377358490564
"Kramnik, Vladimir",1991,2482.696629213483
"Kramnik, Vladimir",1992,2603.9784946236559
"Kramnik, Vladimir",1993,2695.8585858585857
"Kramnik, Vladimir",1994,2715.6934306569342
"Kramnik, Vladimir",1995,2721.6517857142858
"Kramnik, Vladimir",1996,2770.8394160583944
"Kramnik, Vladimir",1997,2751.5116279069766
"Kramnik, Vladimir",1998,2786.7391304347825
"Kramnik, Vladimir",1999,2752.19801980198
"Kramnik, Vladimir",2000,2761.6785714285716
"Kramnik, Vladimir",2001,2786.8987341772154
"Kramnik, Vladimir",2002,2808.5405405405404
"Kramnik, Vladimir",2003,2798.2702702702704
"Kramnik, Vladimir",2004,2773.0
"Kramnik, Vladimir",2005,2749.4459459459458
"Kramnik, Vladimir",2006,2739.3589743589741
"Kramnik, Vladimir",2007,2768.2105263157896
"Kortschnoj, Viktor",1971,2666.5671641791046
"Kortschnoj, Viktor",1972,2651.5384615384614
"Kortschnoj, Viktor",1973,2644.6875
"Kortschnoj, Viktor",1974,2670.0
"Kortschnoj, Viktor",1975,2665.0
"Kortschnoj, Viktor",1976,2668.6666666666665
"Kortschnoj, Viktor",1977,2645.2857142857142
"Kortschnoj, Viktor",1978,2665.0
"Kortschnoj, Viktor",1979,2695.0
"Kortschnoj, Viktor",1980,2687.719298245614
"Kortschnoj, Viktor",1981,2673.8888888888887
"Kortschnoj, Viktor",1982,2647.2413793103447
"Kortschnoj, Viktor",1983,2621.413043478261
"Kortschnoj, Viktor",1984,2635.0
"Kortschnoj, Viktor",1985,2630.0632911392404
"Kortschnoj, Viktor",1986,2643.2142857142858
"Kortschnoj, Viktor",1987,2627.06106870229
"Kortschnoj, Viktor",1988,2627.8187919463089
"Kortschnoj, Viktor",1989,2638.3644859813085
"Kortschnoj, Viktor",1990,2627.2727272727275
"Kortschnoj, Viktor",1991,2613.3552631578946
"Kortschnoj, Viktor",1992,2581.8831168831171
"Kortschnoj, Viktor",1993,2614.1472868217056
"Kortschnoj, Viktor",1994,2616.2307692307691
"Kortschnoj, Viktor",1995,2635.0
"Kortschnoj, Viktor",1996,2640.913043478261
"Kortschnoj, Viktor",1997,2627.7480916030536
"Kortschnoj, Viktor",1998,2625.0
"Kortschnoj, Viktor",1999,2674.8157894736842
"Kortschnoj, Viktor",2000,2647.6627906976746
"Kortschnoj, Viktor",2001,2634.1489361702129
"Kortschnoj, Viktor",2002,2631.9166666666665
"Kortschnoj, Viktor",2003,2625.5222222222224
"Kortschnoj, Viktor",2004,2578.9411764705883
"Kortschnoj, Viktor",2005,2616.4078947368421
"Kortschnoj, Viktor",2006,2587.1913043478262
"Kasparov, Garry",1978,2200.0
"Kasparov, Garry",1979,2444.375
"Kasparov, Garry",1980,2595.0
"Kasparov, Garry",1981,2628.0882352941176
"Kasparov, Garry",1982,2636.9512195121952
"Kasparov, Garry",1983,2690.0
"Kasparov, Garry",1984,2712.5714285714284
"Kasparov, Garry",1985,2708.9361702127658
"Kasparov, Garry",1986,2711.2025316455697
"Kasparov, Garry",1987,2736.3953488372094
"Kasparov, Garry",1988,2742.6129032258063
"Kasparov, Garry",1989,2775.0
"Kasparov, Garry",1990,2800.0
"Kasparov, Garry",1991,2792.8260869565215
"Kasparov, Garry",1992,2783.0
"Kasparov, Garry",1993,2805.4494382022472
"Kasparov, Garry",1994,2807.6146788990827
"Kasparov, Garry",1995,2800.7142857142858
"Kasparov, Garry",1996,2782.2380952380954
"Kasparov, Garry",1997,2803.7195121951218
"Kasparov, Garry",1998,2822.7202072538862
"Kasparov, Garry",1999,2818.8918918918921
"Kasparov, Garry",2000,2850.5615384615385
"Kasparov, Garry",2001,2838.2877697841727
"Kasparov, Garry",2002,2838.0
"Kasparov, Garry",2003,2837.8461538461538
"Kasparov, Garry",2004,2821.6153846153848
"Kasparov, Garry",2005,2804.0
"Karpov, Anatoly",1971,2540.0
"Karpov, Anatoly",1972,2630.0
"Karpov, Anatoly",1973,2655.3636363636365
"Karpov, Anatoly",1974,2700.0
"Karpov, Anatoly",1975,2705.0
"Karpov, Anatoly",1976,2695.0
"Karpov, Anatoly",1977,2690.0
"Karpov, Anatoly",1978,2725.0
"Karpov, Anatoly",1979,2705.0
"Karpov, Anatoly",1980,2725.0
"Karpov, Anatoly",1981,2693.0508474576272
"Karpov, Anatoly",1982,2715.8620689655172
"Karpov, Anatoly",1983,2710.0
"Karpov, Anatoly",1984,2703.9516129032259
"Karpov, Anatoly",1985,2714.6226415094338
"Karpov, Anatoly",1986,2705.1234567901233
"Karpov, Anatoly",1987,2707.10843373494
"Karpov, Anatoly",1988,2718.3881578947367
"Karpov, Anatoly",1989,2751.7088607594937
"Karpov, Anatoly",1990,2730.0
"Karpov, Anatoly",1991,2727.8481012658226
"Karpov, Anatoly",1992,2722.2627737226276
"Karpov, Anatoly",1993,2735.7089552238808
"Karpov, Anatoly",1994,2751.9148936170213
"Karpov, Anatoly",1995,2773.7109375
"Karpov, Anatoly",1996,2770.5902777777778
"Karpov, Anatoly",1997,2753.4677419354839
"Karpov, Anatoly",1998,2731.0283687943261
"Karpov, Anatoly",1999,2708.8118811881186
"Karpov, Anatoly",2000,2696.871287128713
"Karpov, Anatoly",2001,2684.2474226804125
"Karpov, Anatoly",2002,2689.5957446808511
"Karpov, Anatoly",2003,2690.6162790697676
"Karpov, Anatoly",2004,2682.0
"Karpov, Anatoly",2005,2674.3783783783783
"Karpov, Anatoly",2006,2669.6363636363635
"Fischer, Robert James",1971,2754.2857142857142
"Fischer, Robert James",1972,2785.0
"Fischer, Robert James",1992,2785.0
"Carlsen, Magnus",2001,2073.1162790697676
"Carlsen, Magnus",2002,2171.5679012345681
"Carlsen, Magnus",2003,2372.3529411764707
"Carlsen, Magnus",2004,2540.931818181818
"Carlsen, Magnus",2005,2556.0820895522388
"Carlsen, Magnus",2006,2654.75625
"Carlsen, Magnus",2007,2692.2346938775509
"Aronian, Levon",1995,2330.0
"Aronian, Levon",1996,2358.3720930232557
"Aronian, Levon",1997,2420.0
"Aronian, Levon",1998,2455.0
"Aronian, Levon",1999,2509.0298507462685
"Aronian, Levon",2000,2558.1694915254238
"Aronian, Levon",2001,2543.6164383561645
"Aronian, Levon",2002,2576.9076923076923
"Aronian, Levon",2003,2619.3809523809523
"Aronian, Levon",2004,2653.141592920354
"Aronian, Levon",2005,2706.8992248062013
"Aronian, Levon",2006,2753.0224719101125
"Aronian, Levon",2007,2748.8
"Anand, Viswanathan",1984,2315.0
"Anand, Viswanathan",1985,2385.0
"Anand, Viswanathan",1986,2400.2
"Anand, Viswanathan",1987,2503.4482758620688
"Anand, Viswanathan",1988,2510.5405405405404
"Anand, Viswanathan",1989,2529.4642857142858
"Anand, Viswanathan",1990,2579.8170731707319
"Anand, Viswanathan",1991,2641.4615384615386
"Anand, Viswanathan",1992,2673.6507936507937
"Anand, Viswanathan",1993,2713.4615384615386
"Anand, Viswanathan",1994,2716.7687074829932
"Anand, Viswanathan",1995,2718.8823529411766
"Anand, Viswanathan",1996,2729.1666666666665
"Anand, Viswanathan",1997,2765.0
"Anand, Viswanathan",1998,2774.56
"Anand, Viswanathan",1999,2781.361904761905
"Anand, Viswanathan",2000,2766.2094594594596
"Anand, Viswanathan",2001,2787.2561983471073
"Anand, Viswanathan",2002,2754.9784946236559
"Anand, Viswanathan",2003,2761.1239669421489
"Anand, Viswanathan",2004,2775.4181818181819
"Anand, Viswanathan",2005,2786.4424778761063
"Anand, Viswanathan",2006,2791.0162601626016
"Anand, Viswanathan",2007,2781.24
